feature,marketshare,trackedMarketShare
css-counters,97.78,100
css-sel2,97.78,100
css-table,97.78,100
css3-boxsizing,97.78,100
inline-block,97.78,100
json,97.78,100
minmaxwh,97.78,100
png-alpha,97.78,100
text-overflow,97.78,100
element-from-point,97.77,99.99
readonly-attr,97.77,99.99
addeventlistener,97.75,99.97
css-first-line,97.75,99.97
css-gencontent,97.75,99.97
css-mediaqueries,97.75,99.97
css-namespaces,97.75,99.97
css-opacity,97.75,99.97
css-sel3,97.75,99.97
css3-colors,97.75,99.97
currentcolor,97.75,99.97
dom-range,97.75,99.97
domcontentloaded,97.75,99.97
getelementsbyclassname,97.75,99.97
img-naturalwidth-naturalheight,97.75,99.97
innertext,97.75,99.97
insert-adjacent,97.75,99.97
multibackgrounds,97.75,99.97
queryselector,97.75,99.97
xhtml,97.75,99.97
css-first-letter,97.74,99.96
dispatchevent,97.74,99.96
documenthead,97.74,99.96
sni,97.74,99.96
svg-html5,97.74,99.96
textcontent,97.74,99.96
getboundingclientrect,97.73,99.95
atob-btoa,97.7,99.92
console-time,97.7,99.92
rem,97.7,99.92
devicepixelratio,97.69,99.91
form-submit-attributes,97.69,99.91
hidden,97.69,99.91
input-search,97.69,99.91
insertadjacenthtml,97.69,99.91
matchmedia,97.69,99.91
typedarrays,97.68,99.9
use-strict,97.68,99.9
input-placeholder,97.64,99.85
css-background-offsets,97.59,99.8
svg-img,97.58,99.79
svg-filters,97.56,99.77
progress,97.54,99.75
background-repeat-round-space,97.44,99.65
comparedocumentposition,97.32,99.53
tls1-2,97.31,99.52
document-evaluate-xpath,97.3,99.51
x-doc-messaging,97.3,99.51
datauri,97.29,99.5
form-attribute,97.29,99.5
wbr-element,97.29,99.5
svg,97.17,99.37
customevent,97.16,99.36
flexbox,97.15,99.35
vector-effect,97.15,99.35
css-featurequeries,97.13,99.33
ol-reversed,97.13,99.33
meter,97.08,99.28
object-fit,96.86,99.06
hashchange,96.73,98.92
namevalue-storage,96.73,98.92
contenteditable,96.72,98.91
border-radius,96.7,98.89
canvas-text,96.7,98.89
css-fixed,96.7,98.89
geolocation,96.7,98.89
input-selection,96.7,98.89
transforms2d,96.7,98.89
canvas,96.69,98.88
css-boxshadow,96.69,98.88
fontface,96.69,98.88
audio,96.68,98.87
console-basic,96.68,98.87
document-execcommand,96.68,98.87
getcomputedstyle,96.68,98.87
mp3,96.68,98.87
online-status,96.68,98.87
video,96.68,98.87
svg-css,96.67,98.86
css-textshadow,96.65,98.84
nav-timing,96.65,98.84
pointer-events,96.65,98.84
user-select-none,96.65,98.84
css-optional-pseudo,96.64,98.83
css-repeating-gradients,96.64,98.83
css-transitions,96.64,98.83
dataset,96.64,98.83
iframe-sandbox,96.64,98.83
input-email-tel-url,96.64,98.83
input-event,96.64,98.83
maxlength,96.64,98.83
page-transition-events,96.64,98.83
script-async,96.64,98.83
script-defer,96.64,98.83
bloburls,96.63,98.82
css-animation,96.63,98.82
background-position-x-y,96.62,98.81
focusin-focusout-events,96.61,98.8
history,96.57,98.76
css-letter-spacing,96.56,98.75
input-range,96.56,98.75
woff,96.56,98.75
background-img-opts,96.55,98.74
keyboardevent-location,96.53,98.72
webworkers,96.52,98.71
channel-messaging,96.51,98.7
cors,96.5,98.69
es5,96.5,98.69
filereadersync,96.5,98.69
mutationobserver,96.5,98.69
pagevisibility,96.5,98.69
requestanimationframe,96.5,98.69
stricttransportsecurity,96.5,98.69
websockets,96.5,98.69
getrandomvalues,96.49,98.68
webvtt,96.49,98.68
high-resolution-time,96.48,98.67
xml-serializer,96.48,98.67
font-feature,96.47,98.66
link-icon-png,96.45,98.64
keyboardevent-charcode,96.4,98.59
indeterminate-checkbox,96.38,98.57
keyboardevent-key,96.35,98.54
svg-fragment,96.28,98.46
mpeg4,96.27,98.45
keyboardevent-getmodifierstate,96.26,98.44
word-break,96.26,98.44
blobbuilder,96.25,98.43
outline,96.25,98.43
ttf,96.25,98.43
webgl,96.25,98.43
css-initial-value,96.24,98.42
rel-noreferrer,96.24,98.42
transforms3d,96.24,98.42
wav,96.24,98.42
css-writing-mode,96.23,98.41
filereader,96.23,98.41
text-stroke,96.23,98.41
input-pattern,96.22,98.4
background-clip-text,96.21,98.39
