feature,marketshare,keystone,days since keystone,reached 80%,days to 80%,reached 85%,days to 85%,reached 90%,days to 90%,reached 91%,days to 91%,reached 92%,days to 92%,reached 93%,days to 93%,reached 94%,days to 94%,reached 95%,days to 95%,reached 96%,days to 96%,reached 97%,days to 97%,reached 98%,days to 98%,reached 99%,days to 99%
abortcontroller,97.24,2019-04-02,1608,2018-11-06,0,2019-07-08,97,2020-03-05,338,2020-05-08,402,2020-08-11,497,2021-02-05,675,2021-11-04,947,2022-07-03,1188,2022-11-04,1312,2023-06-03,1523,not yet,n/a,not yet,n/a
apng,97.77,2020-01-15,1320,2018-09-04,0,2019-02-03,0,2020-03-05,50,2020-05-08,114,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-11-04,659,2022-07-03,900,2022-12-09,1059,not yet,n/a,not yet,n/a
array-find,97.92,2017-04-11,2329,2018-08-30,506,2018-08-30,506,2018-08-30,506,2018-10-03,540,2019-01-04,633,2019-05-03,752,2019-09-05,877,2020-01-03,997,2020-05-08,1123,2022-07-03,1909,not yet,n/a,not yet,n/a
array-find-index,97.92,2016-12-16,2445,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-06-21,1283,2020-07-17,1309,2022-07-03,2025,not yet,n/a,not yet,n/a
array-flat,97.16,2020-01-15,1320,2019-09-05,0,2019-12-04,0,2020-08-04,202,2020-10-03,262,2021-02-05,387,2021-09-04,598,2022-02-04,751,2022-07-03,900,2023-06-03,1235,2023-06-03,1235,not yet,n/a,not yet,n/a
array-includes,97.9,2016-12-16,2445,2018-03-13,452,2018-03-13,452,2018-06-04,535,2018-11-06,690,2019-03-03,807,2019-07-05,931,2019-11-04,1053,2020-02-04,1145,2020-11-05,1420,2023-06-03,2360,not yet,n/a,not yet,n/a
arrow-functions,97.81,2016-12-16,2445,2018-02-07,418,2018-02-07,418,2018-08-03,595,2018-11-06,690,2019-04-03,838,2019-07-05,931,2019-12-04,1083,2020-02-04,1145,2020-11-05,1420,2022-07-03,2025,not yet,n/a,not yet,n/a
async-functions,97.51,2017-10-31,2126,2018-02-07,99,2018-02-07,99,2019-03-03,488,2019-07-05,612,2019-11-04,734,2020-01-03,794,2020-03-05,856,2021-02-05,1193,2022-07-03,1706,2023-06-03,2041,not yet,n/a,not yet,n/a
audio-api,98.17,2021-04-26,853,2017-05-03,0,2018-02-07,0,2018-02-07,0,2018-02-07,0,2018-03-05,0,2018-10-03,0,2019-03-16,0,2019-09-05,0,2020-02-04,0,2020-11-05,0,2023-06-03,768,not yet,n/a
background-position-x-y,98.92,2016-09-20,2532,2016-01-14,0,2016-01-14,0,2016-11-03,44,2016-11-03,44,2016-11-03,44,2016-11-03,44,2017-02-02,135,2017-03-05,166,2017-09-04,349,2018-11-06,777,2019-11-04,1140,not yet,n/a
background-repeat-round-space,99.59,2016-09-20,2532,2017-03-20,181,2017-03-20,181,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-04-15,207,2017-05-03,225,2018-02-05,503,2021-02-05,1599
beacon,97.91,2018-03-29,1977,2018-05-06,38,2018-06-04,67,2018-12-04,250,2019-01-04,281,2019-05-03,400,2019-07-05,463,2019-12-04,615,2020-02-04,677,2021-02-05,1044,2022-07-03,1557,not yet,n/a,not yet,n/a
bigint,96.43,2020-09-16,1075,2020-10-03,17,2020-12-04,79,2021-04-04,200,2021-08-05,323,2021-12-03,443,2022-07-03,655,2022-09-19,733,2023-04-04,930,2023-06-03,990,not yet,n/a,not yet,n/a,not yet,n/a
bloburls,98.91,2017-04-11,2329,2014-02-02,0,2014-08-02,0,2015-03-06,0,2015-04-02,0,2016-02-03,0,2016-07-03,0,2016-11-03,0,2017-02-02,0,2017-05-03,22,2018-11-06,574,2020-02-04,1029,not yet,n/a
border-image,98.05,2022-03-14,531,2014-11-02,0,2015-02-02,0,2016-03-03,0,2016-07-03,0,2020-01-03,0,2020-02-04,0,2020-04-15,0,2020-10-03,0,2022-06-07,85,2022-09-24,194,2023-06-03,446,not yet,n/a
