agent,version,usage
ie,5.5,0
ie,6,0
ie,7,0
ie,8,0.034985
ie,9,0.0466466
ie,10,0
ie,11,0.396496
edge,12,0
edge,13,0
edge,14,0
edge,15,0.004269
edge,16,0
edge,17,0.004269
edge,18,0.008538
edge,79,0
edge,80,0.008538
edge,81,0.008538
edge,83,0.008538
edge,84,0.008538
edge,85,0.004269
edge,86,0.008538
edge,87,0.008538
edge,88,0.004269
edge,89,0.008538
edge,90,0.008538
edge,91,0
edge,92,0.012807
edge,93,0
edge,94,0
edge,95,0
edge,96,0
edge,97,0
edge,98,0
edge,99,0.017076
edge,100,0
edge,101,0
edge,102,0
edge,103,0
edge,104,0
edge,105,0
edge,106,0.004269
edge,107,0.008538
edge,108,0.012807
edge,109,0.081111
edge,110,0.017076
edge,111,0.055497
edge,112,0.081111
edge,113,0.055497
edge,114,3.57315
edge,115,0.994677
edge,116,0
firefox,2,0
firefox,3,0
firefox,3.5,0
firefox,3.6,0
firefox,4,0
firefox,5,0
firefox,6,0
firefox,7,0
firefox,8,0
firefox,9,0
firefox,10,0
firefox,11,0.008538
firefox,12,0
firefox,13,0
firefox,14,0
firefox,15,0
firefox,16,0
firefox,17,0
firefox,18,0
firefox,19,0
firefox,20,0
firefox,21,0
firefox,22,0
firefox,23,0
firefox,24,0
firefox,25,0
firefox,26,0
firefox,27,0
firefox,28,0
firefox,29,0
firefox,30,0
firefox,31,0
firefox,32,0
firefox,33,0
firefox,34,0
firefox,35,0
firefox,36,0
firefox,37,0
firefox,38,0
firefox,39,0
firefox,40,0
firefox,41,0
firefox,42,0
firefox,43,0.008538
firefox,44,0.008538
firefox,45,0
firefox,46,0
firefox,47,0
firefox,48,0
firefox,49,0
firefox,50,0
firefox,51,0
firefox,52,0.046959
firefox,53,0.004269
firefox,54,0
firefox,55,0
firefox,56,0.004269
firefox,57,0
firefox,58,0
firefox,59,0.004269
firefox,60,0
firefox,61,0
firefox,62,0
firefox,63,0
firefox,64,0
firefox,65,0
firefox,66,0
firefox,67,0
firefox,68,0
firefox,69,0
firefox,70,0
firefox,71,0
firefox,72,0.004269
firefox,73,0
firefox,74,0
firefox,75,0
firefox,76,0
firefox,77,0
firefox,78,0.04269
firefox,79,0
firefox,80,0
firefox,81,0
firefox,82,0
firefox,83,0
firefox,84,0
firefox,85,0
firefox,86,0
firefox,87,0
firefox,88,0.004269
firefox,89,0.004269
firefox,90,0.004269
firefox,91,0.004269
firefox,92,0
firefox,93,0
firefox,94,0.008538
firefox,95,0
firefox,96,0
firefox,97,0
firefox,98,0
firefox,99,0
firefox,100,0
firefox,101,0
firefox,102,0.110994
firefox,103,0.008538
firefox,104,0
firefox,105,0.004269
firefox,106,0.004269
firefox,107,0.004269
firefox,108,0.008538
firefox,109,0.008538
firefox,110,0.012807
firefox,111,0.021345
firefox,112,0.068304
firefox,113,0.038421
firefox,114,0.542163
firefox,115,1.37889
firefox,116,0.008538
firefox,117,0
firefox,118,0
firefox,119,0
chrome,4,0
chrome,5,0
chrome,6,0
chrome,7,0
chrome,8,0
chrome,9,0
chrome,10,0
chrome,11,0
chrome,12,0
chrome,13,0
chrome,14,0
chrome,15,0
chrome,16,0
chrome,17,0
chrome,18,0
chrome,19,0
chrome,20,0
chrome,21,0
chrome,22,0
chrome,23,0
chrome,24,0
chrome,25,0
chrome,26,0
chrome,27,0
chrome,28,0
chrome,29,0
chrome,30,0
chrome,31,0
chrome,32,0
chrome,33,0
chrome,34,0.004269
chrome,35,0
chrome,36,0
chrome,37,0
chrome,38,0.017076
chrome,39,0
chrome,40,0.017076
chrome,41,0.004269
chrome,42,0
chrome,43,0.004269
chrome,44,0
chrome,45,0
chrome,46,0
chrome,47,0.008538
chrome,48,0.021345
chrome,49,0.034152
chrome,50,0.008538
chrome,51,0.004269
chrome,52,0.004269
chrome,53,0.008538
chrome,54,0
chrome,55,0.004269
chrome,56,0.051228
chrome,57,0.004269
chrome,58,0.008538
chrome,59,0
chrome,60,0.021345
chrome,61,0.012807
chrome,62,0
chrome,63,0.008538
chrome,64,0
chrome,65,0.008538
chrome,66,0.029883
chrome,67,0.008538
chrome,68,0.046959
chrome,69,0.064035
chrome,70,0.064035
chrome,71,0.025614
chrome,72,0.034152
chrome,73,0.012807
chrome,74,0.076842
chrome,75,0.068304
chrome,76,0.106725
chrome,77,0.038421
chrome,78,0.046959
chrome,79,0.247602
chrome,80,0.072573
chrome,81,0.068304
chrome,83,0.153684
chrome,84,0.04269
chrome,85,0.102456
chrome,86,0.102456
chrome,87,0.110994
chrome,88,0.068304
chrome,89,0.051228
chrome,90,0.068304
chrome,91,0.072573
chrome,92,0.029883
chrome,93,0.145146
chrome,94,0.025614
chrome,95,0.021345
chrome,96,0.025614
chrome,97,0.029883
chrome,98,0.059766
chrome,99,0.051228
chrome,100,0.04269
chrome,101,0.051228
chrome,102,0.04269
chrome,103,0.226257
chrome,104,0.064035
chrome,105,0.055497
chrome,106,0.04269
chrome,107,0.093918
chrome,108,0.145146
chrome,109,1.8869
chrome,110,0.123801
chrome,111,0.29883
chrome,112,0.268947
chrome,113,0.4269
chrome,114,16.3375
chrome,115,2.92
chrome,116,0.021345
chrome,117,0.008538
chrome,118,0
chrome,119,0
safari,3.1,0
safari,3.2,0
safari,4,0
safari,5,0
safari,5.1,0.008538
safari,6,0
safari,6.1,0
safari,7,0
safari,7.1,0
safari,8,0
safari,9,0
safari,9.1,0.204912
safari,10,0
safari,10.1,0
safari,11,0
safari,11.1,0.008538
safari,12,0
safari,12.1,0.029883
safari,13,0.017076
safari,13.1,0.149415
safari,14,0.102456
safari,14.1,0.264678
safari,15,0.021345
safari,15.1,0.04269
safari,15.2-15.3,0.034152
safari,15.4,0.081111
safari,15.5,0.136608
safari,15.6,0.610467
safari,16.0,0.192105
safari,16.1,0.192105
safari,16.2,0.209181
safari,16.3,0.495204
safari,16.4,0.183567
safari,16.5,2.35649
safari,16.6,0.055497
safari,17,0.017076
safari,TP,0
opera,9,0
opera,9.5-9.6,0
opera,10.0-10.1,0
opera,10.5,0
opera,10.6,0
opera,11,0
opera,11.1,0
opera,11.5,0
opera,11.6,0
opera,12,0
opera,12.1,0
opera,15,0
opera,16,0
opera,17,0
opera,18,0
opera,19,0
opera,20,0
opera,21,0
opera,22,0
opera,23,0
opera,24,0
opera,25,0
opera,26,0
opera,27,0
opera,28,0.008538
opera,29,0
opera,30,0
opera,31,0
opera,32,0
opera,33,0
opera,34,0
opera,35,0
opera,36,0
opera,37,0
opera,38,0
opera,39,0
opera,40,0.004269
opera,41,0
opera,42,0
opera,43,0
opera,44,0
opera,45,0
opera,46,0.017076
opera,47,0
opera,48,0
opera,49,0
opera,50,0
opera,51,0
opera,52,0
opera,53,0
opera,54,0.004269
opera,55,0.004269
opera,56,0
opera,57,0
opera,58,0
opera,60,0
opera,62,0
opera,63,0
opera,64,0
opera,65,0
opera,66,0
opera,67,0
opera,68,0
opera,69,0
opera,70,0
opera,71,0
opera,72,0
opera,73,0
opera,74,0
opera,75,0
opera,76,0
opera,77,0
opera,78,0
opera,79,0
opera,80,0
opera,81,0
opera,82,0
opera,83,0
opera,84,0
opera,85,0.004269
opera,86,0
opera,87,0
opera,88,0
opera,89,0
opera,90,0
opera,91,0
opera,92,0
opera,93,0
opera,94,0
opera,95,0.055497
opera,96,0.008538
opera,97,0.04269
opera,98,0.008538
opera,99,1.05871
opera,100,0.563508
opera,101,0.008538
ios_saf,3.2,0
ios_saf,4.0-4.1,0
ios_saf,4.2-4.3,0.0030066
ios_saf,5.0-5.1,0.0030066
ios_saf,6.0-6.1,0.0030066
ios_saf,7.0-7.1,0.0120264
ios_saf,8,0
ios_saf,8.1-8.4,0.0045099
ios_saf,9.0-9.2,0.0105231
ios_saf,9.3,0.0435957
ios_saf,10.0-10.2,0.0030066
ios_saf,10.3,0.0586287
ios_saf,11.0-11.2,0.0315693
ios_saf,11.3-11.4,0.0210462
ios_saf,12.0-12.1,0.015033
ios_saf,12.2-12.5,0.281117
ios_saf,13.0-13.1,0.00751649
ios_saf,13.2,0.0105231
ios_saf,13.3,0.0195429
ios_saf,13.4-13.7,0.0616352
ios_saf,14.0-14.4,0.174383
ios_saf,14.5-14.8,0.30517
ios_saf,15.0-15.1,0.108238
ios_saf,15.2-15.3,0.121767
ios_saf,15.4,0.139807
ios_saf,15.5,0.201442
ios_saf,15.6-15.7,0.481056
ios_saf,16.0,0.551711
ios_saf,16.1,1.05231
ios_saf,16.2,0.545697
ios_saf,16.3,1.15604
ios_saf,16.4,0.317196
ios_saf,16.5,8.21102
ios_saf,16.6,0.189416
ios_saf,17,0.060132
op_mini,all,1.05241
android,2.1,0
android,2.2,0.00809674
android,2.3,0
android,3,0
android,4,0.0242902
android,4.1,0.0404837
android,4.2-4.3,0.0566772
android,4.4,0
android,4.4.3-4.4.4,0.242902
android,116,0
bb,7,0
bb,10,0
op_mob,10,0
op_mob,11,0
op_mob,11.1,0
op_mob,11.5,0
op_mob,12,0
op_mob,12.1,0
op_mob,73,0
and_chr,116,38.273
and_ff,116,0.2865
ie_mob,10,0
ie_mob,11,0
and_uc,15.5,1.02567
samsung,4,0.135723
samsung,5.0-5.4,0
samsung,6.2-6.4,0
samsung,7.2-7.4,0.041761
samsung,8.2,0
samsung,9.2,0
samsung,10.1,0
samsung,11.1-11.2,0.0104403
samsung,12.0,0
samsung,13.0,0.0208805
samsung,14.0,0.0208805
samsung,15.0,0.0104403
samsung,16.0,0.0313208
samsung,17.0,0.041761
samsung,18.0,0.0313208
samsung,19.0,0.0626415
samsung,20,0.125283
samsung,21,1.23195
and_qq,13.1,0.16617
baidu,13.18,0
kaios,2.5,0.08595
kaios,3.0-3.1,0
